火山	かざん	Paysage			<span class="kanji">火山<span class="furigana">かざん</span></span>			
下山	げざん	Descente (d'une montagne)			<span class="kanji">下山<span class="furigana">げざん</span></span>			
山々	やまやま	Montages			<span class="kanji">山々<span class="furigana">やまやま</span></span>			
山本	やまもと	Yamamoto (nom de famille)			<span class="kanji">山本<span class="furigana">やまもと</span></span>			
水田	すいでん	Rizière			<span class="kanji">水田<span class="furigana">すいでん</span></span>			
田中	たなか	Tanaka (nom de famille)			<span class="kanji">田中<span class="furigana">たなか</span></span>			
本田	ほんだ	Honda (nom de famille)			<span class="kanji">本田<span class="furigana">ほんだ</span></span>			
山田	やまだ	Yamada (nom de famille)			<span class="kanji">山田<span class="furigana">やまだ</span></span>			
下田	しもだ	Shimoda (ville de la péninsule d'Izu)			<span class="kanji">下田<span class="furigana">しもだ</span></span>			
畑	はたけ	Champ			<span class="kanji">畑<span class="furigana">はたけ</span></span>			
田畑	たはた	Rizières et champs			<span class="kanji">田畑<span class="furigana">たはた</span></span>			
みかん畑	みかんばたけ	Plantation de mandariniers			みかん<span class="kanji">畑<span class="furigana">ばたけ</span></span>			
小畑	おばた	Obata (nom de famille)			<span class="kanji">小畑<span class="furigana">おばた</span></span>			
刀	かたな	Sabre, épée			<span class="kanji">刀<span class="furigana">かたな</span></span>			
日本刀	にほんとう	Sabre japonais			<span class="kanji">日本刀<span class="furigana">にほんとう</span></span>			
大刀	だいとう	Grand sabre			<span class="kanji">大刀<span class="furigana">だいとう</span></span>			
小刀	しょうとう	Petit sabre			<span class="kanji">小刀<span class="furigana">しょうとう</span></span>			
小刀	こがたな	Couteau de poche, canif			<span class="kanji">小刀<span class="furigana">こがたな</span></span>			
一刀	いっとう	Une épée; un coup d'épée			<span class="kanji">一刀<span class="furigana">いっとう</span></span>			
分	ふん	Minute			<span class="kanji">分<span class="furigana">ふん</span></span>			
分	ぶん	Portion			<span class="kanji">分<span class="furigana">ぶん</span></span>			
分ける	わける	Diviser, partager, différencier			<span class="kanji">分<span class="furigana">わ</span></span>ける			
分かつ	わかつ	Diviser, partager, différencier			<span class="kanji">分<span class="furigana">わ</span></span>かつ			
分かれる	わかれる	Se séparer			<span class="kanji">分<span class="furigana">わ</span></span>かれる			
分かる	わかる	Être clair; comprendre			<span class="kanji">分<span class="furigana">わ</span></span>かる			
十分	じゅうぶん	Parfaitement, suffisamment			<span class="kanji">十分<span class="furigana">じゅうぶん</span></span>			
十分	じゅっぷん、じっぷん	10 minutes			<span class="kanji">十分<span class="furigana">じゅっぷん</span></span>			
十分の一	じゅうぶんのいち	Un dixième, 10%			<span class="kanji">十分の一<span class="furigana">じゅうぶんのいち</span></span>			
切る	きる	Couper			<span class="kanji">切<span class="furigana">き</span></span>る			
切れる	きれる	Bien couper; se rompre; s'épuiser			<span class="kanji">切<span class="furigana">き</span></span>れる			
大切	たいせつ	Important, précieux			<span class="kanji">大切<span class="furigana">たいせつ</span></span>			
一切れ	ひときれ	Un morceau, une tranche			<span class="kanji">一切<span class="furigana">ひとき</span></span>れ			
切り上げ	きりあげ	Fin; réévaluation		7	<span class="kanji">切<span class="furigana">き</span></span>り<span class="kanji">上<span class="furigana">あ</span></span>げ			
切り下げ	きりさげ	Réduction; dévaluation			<span class="kanji">切<span class="furigana">き</span></span>り<span class="kanji">下<span class="furigana">さ</span></span>げ			
国	くに	Pays			<span class="kanji">国<span class="furigana">くに</span></span>			
大国	たいこく	Grand pays, grande puissance			<span class="kanji">大国<span class="furigana">たいこく</span></span>			
万国	ばんこく	Tous les pays			<span class="kanji">万国<span class="furigana">ばんこく</span></span>			
六か国	ろっかこく	Six pays			<span class="kanji">六<span class="furigana">ろっ</span></span>か<span class="kanji">国<span class="furigana">こく</span></span>			
四国	しこく	Shikoku (île du Japon)			<span class="kanji">四国<span class="furigana">しこく</span></span>			
中国	ちゅうごく	Chûgoku (région du Japon); Chine			<span class="kanji">中国<span class="furigana">ちゅうごく</span></span>			
お寺	おてら	Temple			お<span class="kanji">寺<span class="furigana">てら</span></span>			
国分寺	こくぶんじ	Kokubunji (nom de temple)			<span class="kanji">国分寺<span class="furigana">こくぶんじ</span></span>			
山寺	やまでら	Temple de montagne			<span class="kanji">山寺<span class="furigana">やまでら</span></span>			
寺田	てらだ	Terada (nom de famille)			<span class="kanji">寺田<span class="furigana">てらだ</span></span>			
時	じ	Heure			<span class="kanji">時<span class="furigana">じ</span></span>			
時	とき	Temps, heure			<span class="kanji">時<span class="furigana">とき</span></span>			
四時二十分	よじにじゅっぷん	4 heures 20			<span class="kanji">四時二十分<span class="furigana">よじにじゅっぷん</span></span>			
一時	いちじ	Un instant; une heure			<span class="kanji">一時<span class="furigana">いちじ</span></span>			
一時	ひととき、いっとき	Un moment			<span class="kanji">一時<span class="furigana">ひととき</span></span>			
時々	ときどき	Parfois			<span class="kanji">時々<span class="furigana">ときどき</span></span>			
日時	にちじ	Date et heure, date temps			<span class="kanji">日時<span class="furigana">にちじ</span></span>			
間	あいだ	Intervalle; entre			<span class="kanji">間<span class="furigana">あいだ</span></span>			
間	ま	Intervalle; entre; salle; espace; moment			<span class="kanji">間<span class="furigana">ま</span></span>			
時間	じかん	Temps; heure			<span class="kanji">時間<span class="furigana">じかん</span></span>			
中間	ちゅうかん	Milieu, intermédiaire			<span class="kanji">中間<span class="furigana">ちゅうかん</span></span>			
人間	にんげん	Être humain, Homme			<span class="kanji">人間<span class="furigana">にんげん</span></span>			
間もなく	まもなく	Bientôt, dans un instant			<span class="kanji">間<span class="furigana">ま</span></span>もなく			
生きる	いきる	Vivre			<span class="kanji">生<span class="furigana">い</span></span>きる			
生ける	いける	Vivre			<span class="kanji">生<span class="furigana">い</span></span>ける			
生かす	いかす	Laisser vivre; exploiter			<span class="kanji">生<span class="furigana">い</span></span>かす			
生む	うむ	Porter (un enfant)			<span class="kanji">生<span class="furigana">う</span></span>む			
生まれる	うまれる	Naître			<span class="kanji">生<span class="furigana">う</span></span>まれる			
生やす	はやす	Faire pousser/pousser			<span class="kanji">生<span class="furigana">は</span></span>やす			
生える	はえる	Faire pousser/pousser			<span class="kanji">生<span class="furigana">は</span></span>える			
